 ,Radius,3 4 pclpeo cam kelli 10k67_S1_Radius Histo.csv,3 4 pclpeo cam kelli 10k71_S1_Radius Histo.csv,PCL PEO CAM kont 160818 x10k12_S1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
151,150,0,0,0,0,0,0,0,0
152,151,0,0,0,0,0,0,0,0
153,152,0,0,0,0,0,0,0,0
154,153,0,0,0,0,0,0,0,0
155,154,0,0,0,0,0,0,0,0
156,155,0,0,0,0,0,0,0,0
157,156,0,0,0,0,0,0,0,0
158,157,0,0,0,0,0,0,0,0
159,158,0,0,0,0,0,0,0,0
160,159,0,0,0,0,0,0,0,0
161,160,0,0,0,0,0,0,0,0
162,161,0,0,0,0,0,0,0,0
163,162,0,0,0,0,0,0,0,0
164,163,0,0,0,0,0,0,0,0
165,164,0,0,0,0,0,0,0,0
166,165,0,0,0,0,0,0,0,0
167,166,0,0,0,0,0,0,0,0
168,167,0,0,0,0,0,0,0,0
169,168,0,0,0,0,0,0,0,0
170,169,0,0,0,0,0,0,0,0
171,170,0,0,0,0,0,0,0,0
172,171,0,0,0,0,0,0,0,0
173,172,0,0,0,0,0,0,0,0
174,173,0,0,0,0,0,0,0,0
175,174,0,0,0,0,0,0,0,0
176,175,0,0,0,0,0,0,0,0
177,176,0,0,0,0,0,0,0,0
178,177,0,0,0,0,0,0,0,0
179,178,0,0,0,0,0,0,0,0
180,179,0,0,0,0,0,0,0,0
181,180,0,0,0,0,0,0,0,0
182,181,0,0,0,0,0,0,0,0
183,182,0,0,0,0,0,0,0,0
184,183,0,0,0,0,0,0,0,0
185,184,0,0,0,0,0,0,0,0
186,185,0,0,0,0,0,0,0,0
187,186,0,0,0,0,0,0,0,0
188,187,0,0,0,0,0,0,0,0
189,188,0,0,0,0,0,0,0,0
190,189,0,0,0,0,0,0,0,0
191,190,0,0,0,0,0,0,0,0
192,191,0,0,0,0,0,0,0,0
193,192,0,0,0,0,0,0,0,0
194,193,0,0,0,0,0,0,0,0
195,194,0,0,0,0,0,0,0,0
196,195,0,0,0,0,0,0,0,0
197,196,0,0,0,0,0,0,0,0
198,197,0,0,0,0,0,0,0,0
199,198,0,0,0,0,0,0,0,0
200,199,0,0,0,0,0,0,0,0
201,200,0,0,0,0,0,0,0,0
202,201,0,0,0,0,0,0,0,0
203,202,0,0,0,0,0,0,0,0
204,203,0,0,0,0,0,0,0,0
205,204,0,0,0,0,0,0,0,0
206,205,0,0,0,0,0,0,0,0
207,206,0,0,0,0,0,0,0,0
208,207,0,0,0,0,0,0,0,0
209,208,0,0,0,0,0,0,0,0
210,209,0,0,0,0,0,0,0,0
211,210,0,0,0,0,0,0,0,0
212,211,0,0,0,0,0,0,0,0
213,212,0,0,0,0,0,0,0,0
214,213,0,0,0,0,0,0,0,0
215,214,0,0,0,0,0,0,0,0
216,215,0,0,0,0,0,0,0,0
217,216,0,0,0,0,0,0,0,0
218,217,0,0,0,0,0,0,0,0
219,218,0,0,0,0,0,0,0,0
220,219,0,0,0,0,0,0,0,0
221,220,0,0,0,0,0,0,0,0
222,221,0,0,0,0,0,0,0,0
223,222,0,0,0,0,0,0,0,0
224,223,0,0,0,0,0,0,0,0
225,224,0,0,0,0,0,0,0,0
226,225,0,0,0,0,0,0,0,0
227,226,0,0,0,0,0,0,0,0
228,227,0,0,0,0,0,0,0,0
229,228,0,0,0,0,0,0,0,0
230,229,0,0,0,0,0,0,0,0
231,230,0,0,0,0,0,0,0,0
232,231,0,0,0,0,0,0,0,0
233,232,0,0,0,0,0,0,0,0
234,233,0,0,0,0,0,0,0,0
235,234,0,0,0,0,0,0,0,0
236,235,0,0,0,0,0,0,0,0
237,236,0,0,0,0,0,0,0,0
238,237,0,0,0,0,0,0,0,0
239,238,0,0,0,0,0,0,0,0
240,239,0,0,0,0,0,0,0,0
241,240,0,0,0,0,0,0,0,0
242,241,0,0,0,0,0,0,0,0
243,242,0,0,0,0,0,0,0,0
244,243,0,0,0,0,0,0,0,0
245,244,0,0,0,0,0,0,0,0
246,245,0,0,0,0,0,0,0,0
247,246,0,0,0,0,0,0,0,0
248,247,0,0,0,0,0,0,0,0
249,248,0,0,0,0,0,0,0,0
250,249,0,0,0,0,0,0,0,0
251,250,0,0,0,0,0,0,0,0
252,251,0,0,0,0,0,0,0,0
253,252,0,0,0,0,0,0,0,0
254,253,0,0,0,0,0,0,0,0
255,254,0,0,0,0,0,0,0,0
256,255,0,0,0,0,0,0,0,0
